"STUDY_ID","REVIEWERS","INCLUDE","author_full","title","journal","year","doi","abstract","language","keywords","volume","n_duplicates"
1,"Ashis","not vetted","Galea, Marinella DeFre","Telemedicine in rehabilitation.","Physical medicine and rehabilitation clinics of north america","2019","10.1016/j.pmr.2018.12.002 ","Telerehabilitation refers to the virtual delivery of rehabilitation services into the patient's home. This methodology has shown to be advantageous when used to enhance or replace conventional therapy to overcome geographic, physical, and cognitive barriers. The exponential growth of technology has led to the development of new applications that enable health care providers to monitor, educate, treat, and support patients in their own environment. Best practices and well-designed telerehabilitation studies are needed to build and sustain a strong telerehabilitation system that is integrated in the current health care structure and is cost-effective.","English","*Telehealth and *Telemedicine and *Telerehabilitation","30",2
2,"Ashis","not vetted","Sarfo, Fred S and Ulasavets, Uladzislau and Opare-Sem, Ohene K and Ovbiagele, Bruce","Tele-rehabilitation after stroke: an updated systematic review of the literature.","Journal of stroke and cerebrovascular diseases : the official journal of national and stroke association","2018","10.1016/j.jstrokecerebrovasdis.2018.05.013 ","Background: tele-rehabilitation for stroke survivors has emerged as a promising intervention for remotely supervised administration of physical, occupational, speech, and other forms of therapies aimed at improving motor, cognitive, and neuropsychiatric deficits from stroke. Objective: we aimed to provide an updated systematic review on the efficacy of tele-rehabilitation interventions for recovery from motor, higher cortical dysfunction, and poststroke depression among stroke survivors. Methods: we searched pubmed and cochrane library from january 1, 1980 to july 15, 2017 using the following keywords: ""telerehabilitation stroke,"" ""mobile health rehabilitation,"" ""telemedicine stroke rehabilitation,"" and ""telerehabilitation."" Our inclusion criteria were randomized controlled trials, pilot trials, or feasibility trials that included an intervention group that received any tele-rehabilitation therapy for stroke survivors compared with a control group on usual or standard of care. Results: this search yielded 49 abstracts. By consensus between 2 investigators, 22 publications met the criteria for inclusion and further review. Tele-rehabilitation interventions focused on motor recovery (n = 18), depression, or caregiver strain (n = 2) and higher cortical dysfunction (n = 2). Overall, tele-rehabilitation interventions were associated with significant improvements in recovery from motor deficits, higher cortical dysfunction, and depression in the intervention groups in all studies assessed, but significant differences between intervention versus control groups were reported in 8 of 22 studies in favor of tele-rehabilitation group while the remaining studies reported nonsignificant differences. Conclusion: this updated systematic review provides evidence to suggest that tele-rehabilitation interventions have either better or equal salutary effects on motor, higher cortical, and mood disorders compared with conventional face-to-face therapy.","eng","Tele-rehabilitation and higher cortical dysfunction and motor function and poststroke recovery","27",1
3,"Ashis","not vetted","Tenforde, Adam S. and Hefner, Jaye E. and Kodish-Wachs, Jodi E. and Iaccarino, Mary A. and Paganoni, Sabrina","Telehealth in physical medicine and rehabilitation: a narrative review.","Pm & r : the journal of injury, function, and rehabilitation","2017","10.1016/j.pmrj.2017.02.013 ","Telehealth refers to health care interactions that leverage telecommunication devices to provide medical care outside the traditional face-to-face, in-person medical encounter. Technology advances and research have expanded use of telehealth in health care delivery. Physical medicine and rehabilitation providers may use telehealth to deliver care to populations with neurologic and musculoskeletal conditions, commonly treated in both acute care and outpatient settings. Patients with impaired mobility and those living in locations with reduced access to care may particularly benefit. Video-teleconferencing has been shown to be effective for management of burn patients during acute rehabilitation, including reduced health care use expenses and less disruptions to care. Telehealth can facilitate developing interprofessional care plans. Patients with neurologic conditions including stroke, spinal cord injury, traumatic brain injury, and amyotrophic lateral sclerosis may use telehealth to monitor symptoms and response to treatment. Telehealth also may facilitate occupational and physical therapy programs as well as improve weight management and skin care in patients with chronic conditions. Other applications include imaging review in sports medicine, symptom management and counseling in concussion, traumatic brain injury, and pain management programs. Limitations of telehealth include barriers in establishing relationship between medical provider and patient, ability to perform limited physical examination, and differences in payment models and liability coverage. The expansion of telehealth services is expected to grow and has potential to improve patient satisfaction by delivering high quality and value of care.","English",NA,"9",2
4,"Ashis","not vetted","Cottrell, Michelle A. and Galea, Olivia A. and O'Leary, Shaun P. and Hill, Anne J. and Russell, Trevor G.","Real-time telerehabilitation for the treatment of musculoskeletal conditions is effective and comparable to standard practice: a systematic review and meta-analysis.","Clinical rehabilitation","2017","10.1177/0269215516645148 ","Objective: to evaluate the effectiveness of treatment delivered via real-time telerehabilitation for the management of musculoskeletal conditions, and to determine if real-time telerehabilitation is comparable to conventional methods of delivery within this population. Data sources: six databases (medline, embase, cochrane central, pedro, psycinfo, cinahl) were searched from inception to november 2015 for literature which reported on the outcomes of real-time telerehabilitation for musculoskeletal conditions. Review methods: two reviewers screened 5913 abstracts where 13 studies ( n = 1520) met the eligibility criteria. Methodological quality was assessed using the downs & black 'checklist for measuring quality' tool. Results were pooled for meta-analysis based upon primary outcome measures and reported as standardised mean differences and 95% confidence intervals (ci). Results: aggregate results suggest that telerehabilitation is effective in the improvement of physical function (smd 1.63, 95%ci 0.92-2.33, i(2)=93%), whilst being slightly more favourable (smd 0.44, 95%ci 0.19-0.69, i(2)=58%) than the control cohort following intervention. Sub-group analyses reveals that telerehabilitation in addition to usual care is more favourable (smd 0.64, 95%ci 0.43-0.85, i(2)=10%) than usual care alone, whilst treatment delivered solely via telerehabilitation is equivalent to face-to-face intervention (smd md 0.14, 95% ci -0.10-0.37, i(2) = 0%) for the improvement of physical function. The improvement of pain was also seen to be comparable between cohorts (smd 0.66, 95%ci -0.27-1.60, i(2)=96%) following intervention. Conclusions: real-time telerehabilitation appears to be effective and comparable to conventional methods of healthcare delivery for the improvement of physical function and pain in a variety of musculoskeletal conditions.","English","Musculoskeletal disorders and Telemedicine and systematic review and telerehabilitation","31",2
5,"Ashis","not vetted","Rawstorn, Jonathan C and Gant, Nicholas and Direito, Artur and Beckmann, Christina and Maddison, Ralph","Telehealth exercise-based cardiac rehabilitation: a systematic review and meta-analysis.","Heart (british cardiac society)","2016","10.1136/heartjnl-2015-308966 ","Objective: despite proven effectiveness, participation in traditional supervised exercise-based cardiac rehabilitation (excr) remains low. Telehealth interventions that use information and communication technologies to enable remote excr programme delivery can overcome common access barriers while preserving clinical supervision and individualised exercise prescription. This meta-analysis aimed to determine the benefits of telehealth excr on exercise capacity and other modifiable cardiovascular risk factors compared with traditional excr and usual care, among patients with coronary heart disease (chd). Methods: cinahl, the cochrane library, embase, medline, pubmed and psycinfo were searched from inception through 31 may 2015 for randomised controlled trials comparing telehealth excr with centre-based excr or usual care among patients with chd. Outcomes included maximal aerobic exercise capacity, modifiable cardiovascular risk factors and exercise adherence. Results: 11 trials (n=1189) met eligibility criteria and were included in the review. Physical activity level was higher following telehealth excr than after usual care. Compared with centre-based excr, telehealth excr was more effective for enhancing physical activity level, exercise adherence, diastolic blood pressure and low-density lipoprotein cholesterol. Telehealth and centre-based excr were comparably effective for improving maximal aerobic exercise capacity and other modifiable cardiovascular risk factors. Conclusions: telehealth excr appears to be at least as effective as centre-based excr for improving modifiable cardiovascular risk factors and functional capacity, and could enhance excr utilisation by providing additional options for patients who cannot attend centre-based excr. Telehealth excr must now capitalise on technological advances to provide more comprehensive, responsive and interactive interventions.","eng",NA,"102",1
6,"Ashis","not vetted","Ateriya, Navneet and Saraf, Ashish and Meshram, Vikas Premlal and Setia, Puneet","Telemedicine and virtual consultation: the indian perspective.","The national medical journal of india","2018","10.4103/0970-258X.258220 ","Telemedicine was considered futuristic and experimental some years ago, but it is a reality today. It is now emerging as an important tool for convenient as well as specialized healthcare, particularly for patients in remote locations with limited access to standardized healthcare services. However, there are multiple challenges to realizing its full potential. We focus on some key medicolegal and ethical issues such as doctor-patient relationship, informed consent, rights of the patient, malpractice, and principles of confidentiality relevant to the practice of telemedicine and virtual consultation. We explore the global as well as the indian legal perspective pertaining to the application of telemedicine. The absence of specific laws for registration and practice of telemedicine and virtual consul-tation in india acts as a deterrent for medical practitioners to engage in its potential use. Hence, there is a need for specific legislation.","English",NA,"31",2
7,"Ashis","not vetted","Bruyneel, Marie","Telemedicine in the diagnosis and�treatment of sleep apnoea.","European respiratory review : an official journal of the european respiratory and society","2019","10.1183/16000617.0093-2018 ","Telemedicine (tm) is a current tool in the landscape of medicine. It helps to address public health challenges such as increases in chronic disease in an ageing society and the associated burden in healthcare costs. Sleep tm refers to patient data exchange with the purpose of enhancing disease management. Obstructive sleep apnoea (osa) syndrome is a chronic disorder associated with a significant morbidity, mainly cardiometabolic, and mortality. Obtaining adequate compliance to continuous positive airway pressure (cpap) remains the greatest challenge related to osa treatment, and the adoption of tm to support osa management makes sense. In addition, the prevalence of osa is growing and osa is associated with increased healthcare costs that could be streamlined by the application of tm. In osa, multiple modalities of tm are utilised, such as telediagnostics, teleconsultation, teletherapy and telemonitoring of patients being treated with cpap. In the present article, i aim to provide an overview of current practice and the recent developments in tm for osa management. Concerns related to tm use will also be addressed.","English",NA,"28",2
8,"Ashis","not vetted","Sheikhtaheri, Abbas and Kermani, Farzaneh","Telemedicine in diagnosis, treatment and management of diseases in children.","Health informatics meets ehealth: biomedical meets ehealth - from and sensors to decisions","2018","10.3233/978-1-61499-858-7-148","The purpose of this study was to review different telemedicine services in diagnosis, treatment and management of various children diseases and providing an overview of systematic reviews conducted in this regard. We searched english articles published in peer-reviewed journals between 2000 to 2016. We found that tele-pediatric services have been reported in various areas such as cardiology, burn, diabetes, obesity, emergency medicine, speech and hearing loss, ear, nose and throat, psychology and psychiatry, radiology, oncology, home healthcare, asthma, genetics and dentistry. These studies mainly reported positive results. However, systematic reviews in tele-pediatric showed that these studies have not proven the clinical effectiveness or suggested further studies to assess the clinical outcomes of services provided through telemedicine technologies.","English","child and pediatrics and telehealth and telemedicine","248",2
9,"Ashis","not vetted","Selzler, A-M and Wald, J. and Sedeno, M. and Jourdain, T. and Janaudis-Ferreira, T. and Goldstein, R. and Bourbeau, J. and Stickland, M. K.","Telehealth pulmonary rehabilitation: a review of the literature and an example of a nationwide initiative to improve the accessibility of pulmonary rehabilitation.","Chronic respiratory disease","2018","10.1177/1479972317724570 ","Several different applications of telehealth technologies have been used in the care of respiratory patients, including telemonitoring, teleconsultations, tele-education, and telehealth-pulmonary rehabilitation (pr). Telehealth technology provides an opportunity to assist in the management of chronic respiratory diseases and improve access to pr programs. While there is inconclusive evidence as to the effectiveness of telemonitoring to reduce healthcare utilization and detection of exacerbations, teleconsultations have been shown to be an effective means to assess patients' disease prior to the initiation of pr, and telehealth pr has been shown to be as effective as institution-based pr at improving functional exercise capacity and health-related quality of life. To improve pr access across canada and ensure a high standard of program quality, a team of clinicians and researchers has developed and begun to implement a national standardized pr program that can be delivered across different settings of practice, including remote satellite sites via telehealth pr. The program has adapted the ""living well with copd"" self-management program and includes standardized reference guides and resources for patients and practitioners. A progressive and iterative process will evaluate the success of program implementation and outcomes. This initiative will address nationwide accessibility challenges and provide pr content as well as evaluations that are in accordance with clinical standards and established self-management practices.","English","*Pulmonary rehabilitation and *accessibility and *chronic disease management and *chronic obstructive pulmonary disease and *telehealth","15",2
10,"Ashis","not vetted","Rajasekaran, Karthik","Access to telemedicine-are we doing all that we can during the covid-19 pandemic?","Otolaryngology--head and neck surgery : official journal of american academy of and otolaryngology-head and neck surgery","2020","10.1177/0194599820925049 ","The covid-19 pandemic has resulted in physicians having to switch from in office visits to telemedicine. Unfortunately, physicians and patients did not have adequate time to anticipate barriers to its implementation. Over the last month, one of the major problems has been patient access to telemedicine. Many patients do not own a smartphone or have broadband access. This ""digital divide"" is not fair to our patients in need-especially those with a cancer diagnosis. Patients deserve access to care. We need to implore insurance companies to provide tablets with wireless capabilities to patients in need.","English","*COVID-19 and *access to telemedicine and *broadband and *digital communication and *digital divide and *smart phone","163",1
