"STUDY_ID","REVIEWERS","INCLUDE","author_full","title","journal","year","doi","abstract","language","keywords","volume","n_duplicates"
1,"Ashis","not vetted","Lee, Jun Yang and Lee, Shaun Wen Huey","Telemedicine cost-effectiveness for diabetes management: a systematic review.","Diabetes technology & therapeutics","2018","10.1089/dia.2018.0098 ","Background: telemedicine has been utilized increasingly worldwide for diabetes management, due to its potential to improve healthcare access and clinical outcomes. Few studies have assessed the economic benefits of telemedicine, which may contribute to underfunding in potentially important programs. We aim to systematically review the literature on economic evaluations of telemedicine in diabetes care, assess the quality, and summarize the evidence on driver of cost-effectiveness. Materials and methods: a literature search was performed in 10 databases from inception until february 2018. All economic evaluations assessing the economic evaluation of telemedicine in diabetes were eligible for inclusion. We subsequently evaluated the study quality in terms of effectiveness measures, cost measure, economic model, as well as time horizon. Results: of the 1877 studies identified, 14 articles were included in our final review. The healthcare providers' fees are a major predictor for total cost. In particular, the use of telemedicine for retinal screening was beneficial and cost-effective for diabetes management, with an incremental cost-effectiveness ratio between $113.48/quality-adjusted life year (qaly) and $3,328.46/qaly (adjusted to 2017 inflation rate). Similarly, the use of telemonitoring and telephone reminders was cost-effective in diabetes management. Conclusions: among all telemedicine strategies examined, teleophthalmology was the most cost-effective intervention. Future research is needed to provide evidence on the long-term experience of telemedicine and facilitate resource allocation.","English","Cost–effectiveness analysis and Diabetes management and Systematic review. and Telemedicine","20",2
2,"Ashis","not vetted","Iribarren, Sarah J. and Cato, Kenrick and Falzon, Louise and Stone, Patricia W.","What is the economic evidence for mhealth? A systematic review of economic evaluations of mhealth solutions.","Plos one","2017","10.1371/journal.pone.0170581 ","Background: mobile health (mhealth) is often reputed to be cost-effective or cost-saving. Despite optimism, the strength of the evidence supporting this assertion has been limited. In this systematic review the body of evidence related to economic evaluations of mhealth interventions is assessed and summarized. Methods: seven electronic bibliographic databases, grey literature, and relevant references were searched. Eligibility criteria included original articles, comparison of costs and consequences of interventions (one categorized as a primary mhealth intervention or mhealth intervention as a component of other interventions), health and economic outcomes and published in english. Full economic evaluations were appraised using the consolidated health economic evaluation reporting standards (cheers) checklist and the prisma guidelines were followed. Results: searches identified 5902 results, of which 318 were examined at full text, and 39 were included in this review. The 39 studies spanned 19 countries, most of which were conducted in upper and upper-middle income countries (34, 87.2%). Primary mhealth interventions (35, 89.7%), behavior change communication type interventions (e.g., improve attendance rates, medication adherence) (27, 69.2%), and short messaging system (sms) as the mhealth function (e.g., used to send reminders, information, provide support, conduct surveys or collect data) (22, 56.4%) were most frequent; the most frequent disease or condition focuses were outpatient clinic attendance, cardiovascular disease, and diabetes. The average percent of cheers checklist items reported was 79.6% (range 47.62-100, std 14.18) and the top quartile reported 91.3-100%. In 29 studies (74.3%), researchers reported that the mhealth intervention was cost-effective, economically beneficial, or cost saving at base case. Conclusions: findings highlight a growing body of economic evidence for mhealth interventions. Although all studies included a comparison of intervention effectiveness of a health-related outcome and reported economic data, many did not report all recommended economic outcome items and were lacking in comprehensive analysis. The identified economic evaluations varied by disease or condition focus, economic outcome measurements, perspectives, and were distributed unevenly geographically, limiting formal meta-analysis. Further research is needed in low and low-middle income countries and to understand the impact of different mhealth types. Following established economic reporting guidelines will improve this body of research.","English",NA,"12",2
3,"Ashis","not vetted","Becker, Christian D. and Fusaro, Mario V. and Scurlock, Corey","Telemedicine in the icu: clinical outcomes, economic aspects, and trainee education.","Current opinion in anaesthesiology","2019","10.1097/ACO.0000000000000704 ","Purpose of review: the evidence base for telemedicine in the icu (tele-icu) is rapidly expanding. The last 2 years have seen important additions to our understanding of when, where, and how telemedicine in the icu adds value. Recent findings: recent publications and a recent meta-analysis confirm that tele-icu improves core clinical outcomes for icu patients. Recent evidence further demonstrates that comprehensive tele-icu programs have the potential to quickly recuperate their implementation and operational costs and significantly increase case volumes and direct contribution margins particularly if additional logistics and care standardization functions are embedded to optimize icu bed utilization and reduce complications. Even though the adoption of tele-icu is increasing and the vast majority of today's medical graduates will regularly use some form of telemedicine and/or tele-icu, telemedicine modules have not consistently found their way into educational curricula yet. Tele-icu can be used very effectively to standardize supervision of medical trainees in bedside procedures or point-of-care ultrasound exams, especially during off-hours. Lastly, tele-icus routinely generate rich operational data, as well as risk-adjusted acuity and outcome data across the spectrum of critically ill patients, which can be utilized to support important clinical research and quality improvement projects. Summary: the value of tele-icu to improve patient outcomes, optimize icu bed utilization, increase financial performance and enhance educational opportunities for the next generation of providers has become more evident and differentiated in the last 2 years.","English","electronic ICU; tele-ICU; telemedicine","32",2
4,"Ashis","not vetted","Jiang, Xinchan and Ming, Wai-Kit and You, Joyce H. S.","The cost-effectiveness of digital health interventions on the management of cardiovascular diseases: systematic review.","Journal of medical internet research","2019","10.2196/13166 ","Background: with the advancement in information technology and mobile internet, digital health interventions (dhis) are improving the care of cardiovascular diseases (cvds). The impact of dhis on cost-effective management of cvds has been examined using the decision analytic model-based health technology assessment approach. Objective: the aim of this study was to perform a systematic review of the decision analytic model-based studies evaluating the cost-effectiveness of dhis on the management of cvds. Methods: a literature review was conducted in medline, embase, cumulative index to nursing and allied health literature complete, psycinfo, scopus, web of science, center for review and dissemination, and institute for ieee xplore between 2001 and 2018. Studies were included if the following criteria were met: (1) english articles, (2) dhis that promoted or delivered clinical interventions and had an impact on patients' cardiovascular conditions, (3) studies that were modeling works with health economic outcomes of dhis for cvds, (4) studies that had a comparative group for assessment, and (5) full economic evaluations including a cost-effectiveness analysis, cost-utility analysis, cost-benefit analysis, and cost-consequence analysis. The primary outcome collected was the cost-effectiveness of the dhis, presented by incremental cost per additional quality-adjusted life year (qaly). The quality of each included study was evaluated using the consolidated health economic evaluation reporting standards. Results: a total of 14 studies met the defined criteria and were included in the review. Among the included studies, heart failure (7/14, 50%) and stroke (4/14, 29%) were two of the most frequent cvds that were managed by dhis. A total of 9 (64%) studies were published between 2015 and 2018 and 5 (36%) published between 2011 and 2014. The time horizon was <= 1 year in 3 studies (21%), > 1 year in 10 studies (71%), and 1 study (7%) did not declare the time frame. The types of devices or technologies used to deliver the health interventions were short message service (1/14, 7%), telephone support (1/14, 7%), mobile app (1/14, 7%), video conferencing system (5/14, 36%), digital transmission of physiologic data (telemonitoring; 5/14, 36%), and wearable medical device (1/14, 7%). The dhis gained higher qalys with cost saving in 43% (6/14) of studies and gained qalys at a higher cost at acceptable incremental cost-effectiveness ratio (icer) in 57% (8/14) of studies. The studies were classified as excellent (0/14, 0%), good (9/14, 64%), moderate (4/14, 29%), and low (1/14, 7%) quality. Conclusions: this study is the first systematic review of decision analytic model-based cost-effectiveness analyses of dhis in the management of cvds. Most of the identified studies were published recently, and the majority of the studies were good quality cost-effectiveness analyses with an adequate duration of time frame. All the included studies found the dhis to be cost-effective.","English","*cardiovascular diseases and *cost-effectiveness and *decision modeling and *heart attack and *heart failure and *medical economics and *myocardial infarction and *stroke and *systematic review and *telemedicine","21",2
5,"Ashis","not vetted","Michaud, Tzeyu L. and Zhou, Junmin and McCarthy, Molly A. and Siahpush, Mohammad and Su, Dejun","Costs of home-based telemedicine programs: a systematic review.","International journal of technology assessment in health care","2018","10.1017/S0266462318000454 ","Objectives: the aim of this study was to systematically investigate existing literature on the costs of home-based telemedicine programs, and to further summarize how the costs of these telemedicine programs vary by equipment and services provided. Methods: we undertook a systematic review of related literature by searching electronic bibliographic databases and identifying studies published from january 1, 2000, to november 30, 2017. The search was restricted to studies published in english, results from adult patients, and evaluation of home telemedicine programs implemented in the united states. Summarized telemedicine costs per unit of outcome measures were reported. Results: twelve studies were eligible for our review. The overall annual cost of providing home-based telemedicine varied substantially depending on specific chronic conditions, ranging from usd1,352 for heart failure to usd206,718 for congestive heart failure (chf), chronic obstructive pulmonary disease (copd), and diabetes as a whole. The estimated cost per-patient-visit ranged from usd24 for cancer to usd39 for chf, copd, or chronic wound care. Conclusions: the costs of home-based telemedicine programs varied substantially by program components, disease type, equipment used, and services provided. All the selected studies indicated that home telemedicine programs reduced care costs, although detailed cost data were either incomplete or not presented in detail. A comprehensive analysis of the cost of home-based telemedicine programs and their determinants is still required before the cost efficiency of these programs can be better understood, which becomes crucial for these programs to be more widely adopted and reimbursed.","English","Chronic disease and Costs and Home-based and Telemedicine","34",2
6,"Ashis","not vetted","Delgoshaei, Bahram and Mobinizadeh, Mohammadreza and Mojdekar, Reyhaneh and Afzal, Elham and Arabloo, Jalal and Mohamadi, Efat","Telemedicine: a systematic review of economic evaluations.","Medical journal of the islamic republic of iran","2017","10.14196/mjiri.31.113 ","Background: telemedicine is an expanded term in health information technology that comprises procedures for transmitting medical information electronically to improve patients' health status. The objective of this research is to evaluate the cost-effectiveness of telemedicine interventions in various specialty areas. Methods: the cochrane library and centre for review and dissemination were searched up to february 2013 using mesh. Studies that compared any kind of telemedicine with any other routine care technique and used cost per health utility unit's outcomes were included. Results: twenty-one articles were included. According to the included studies, it seems that using telemedicine in cardiology can be effective and cost-effective enough but pre-hospital telemedicine diagnostics program are likely to have little impact on acute myocardial infarction fatality. In pulmonary, telemedicine can be a cost-effective strategy for delivering outpatient pulmonary care to rural populations which have limited access to specialized services, but telemedicine is not cost- effective in asthma and airways cancer. In ophthalmology, especially in the diagnosis of diabetic retinopathy, the use of telemedicine is a cost-effective tool. In dermatology, telemedicine is not cost-effective enough in comparison of conventional cares. In other fields such as physical activity and diet, eating disorder, tele-icu, psychotherapy for depression and telemedicine on ships, telemedicine can be used as a cost-effective tool for treatments or cares. Conclusion: most of the included studies confirmed that telemedicine is cost-effective for applying in major medical fields such as cardiology; but in dermatology, papers could not confirm the positive capability of telemedicine.","eng","Economics and Review and Telemedicine","31",1
7,"Ashis","not vetted","Avidor, Daniel and Loewenstein, Anat and Waisbourd, Michael and Nutman, Amir","Cost-effectiveness of diabetic retinopathy screening programs using telemedicine: a systematic review.","Cost effectiveness and resource allocation : c/e","2020","10.1186/s12962-020-00211-1 ","Background: diabetic retinopathy (dr) is a significant global public health and economic burden. Dr accounts for approximately 15-17% of all cases of total blindness in the usa and europe. Telemedicine is a new intervention for dr screening, however, there is not enough evidence to support its cost-effectiveness. The aim of this study is to review the most recent published literature on economic evaluations of telemedicine in dr screening and summarize the evidence on the cost-effectiveness of this technology. Methods: a systematic search of pubmed, embase and google scholar for relevant articles published between january 2010 and january 2020. Studies were included if they met the following criteria: (1) recruited subjects with either type 1, type 2 diabetes (2) evaluated telemedicine technology (3) patients underwent primary screening for dr (4) compared a telemedicine-based intervention with standard care (5) performed an economic evaluation or provided sufficient data for evaluating the cost-effectiveness of the technology used. Results: of 2238 articles screened, seven studies were included. Four of the studies were conducted in developed countries: the united states, singapore and two studies in canada. Three studies were conducted in developing countries: india, brazil and south africa. The patient populations in all studies were diabetic patients over the age of 18, previously not screened for dr. All seven studies used a telemedicine program which included capturing a retinal image and subsequently transmitting it to an ocular imaging center to assess the severity of dr. All studies compared telemedicine to a standard screening method for dr, including the option of no screening as standard of care. Although telemedicine requires initial and maintenance costs, it has the potential to provide significant cost savings by increasing patients' working ability, increasing independent living ability, increasing quality of life and reducing travel costs. Conclusions: diabetic retinopathy telemedicine technology has the potential to provide significant cost savings, especially in low-income populations and rural patients with high transportation costs.","eng","Cost-effectiveness and Diabetic retinopathy and Economic evaluation and Telemedicine screening and Teleophthalmology","18",1
8,"Ashis","not vetted","Massoudi, Btissame and Holvast, Floor and Bockting, Claudi L. H. and Burger, Huibert and Blanker, Marco H.","The effectiveness and cost-effectiveness of e-health interventions for depression and anxiety in primary care: a systematic review and meta-analysis.","Journal of affective disorders","2019","10.1016/j.jad.2018.11.050 ","Purpose: psychological interventions are labor-intensive and expensive, but e-health interventions may support them in primary care. In this study, we systematically reviewed the effectiveness and cost-effectiveness of e-health interventions for depressive and anxiety symptoms and disorders in primary care. Methods: we searched medline, cochrane library, embase, and psychinfo until january 2018, for randomized controlled trials of e-health interventions for depression or anxiety in primary care. Two reviewers independently screened the identified publications, extracted data, and assessed risk of bias using the cochrane collaboration's tool. Results: out of 3617 publications, we included 14 that compared 33 treatments in 4183 participants. Overall, the methodological quality was poor to fair. The pooled effect size of e-health interventions was small (standardized mean difference = -0.19, 95%ci -0.31 to -0.06) for depression compared to control groups in the short-term, but this was maintained in the long-term (standardized mean difference = -0.22, 95%ci -0.35 to -0.09). Further analysis showed that e-health for depression had a small effect compared to care as usual and a moderate effect compared to waiting lists. One trial on anxiety showed no significant results. Four trials reported on cost-effectiveness. Limitations: the trials studied different types of e-health interventions and had several risks of bias. Moreover, only one study was included for anxiety. Conclusions: e-health interventions for depression have a small effect in primary care, with a moderate effect compared to waiting lists. The approach also appeared to be cost-effective for depression. However, we found no evidence for its effectiveness for anxiety.","English","*Anxiety and *Cost-effectiveness and *Depression and *E-Health and *Effectiveness and *Primary care","245",2
9,"Ashis","not vetted","Rinaldi, Giulia and Hijazi, Alexa and Haghparast-Bidgoli, Hassan","Cost and cost-effectiveness of mhealth interventions for the prevention and control of type 2 diabetes mellitus: a systematic review.","Diabetes research and clinical practice","2020","10.1016/j.diabres.2020.108084 ","The prevalence of type 2 diabetes mellitus continues to rise and simultaneously technology has contributed to the growth of mhealth interventions for its prevention, monitoring and management. This systematic review aimed to summarize and evaluate the quality of the published evidence on cost and cost-effectiveness of mhealth interventions for t2dm. A systematic literature search of pubmed, embase, and web of science was conducted for papers up to end of april 2019. We included all partial or full economic evaluations providing cost or cost-effectiveness results for mhealth interventions targeting individuals diagnosed with, or at risk of, type 2 diabetes mellitus. Twenty-three studies met the inclusion criteria. Intervention cost varied substantially based on the type and numbers or combination of technologies used, ranging from 1.8 int $ to 10101.1 int $ per patient per year. The studies which presented cost effectiveness results demonstrated highly cost-effective interventions, with cost per qaly gained ranging from 0.4 to 62.5 percent of gdp per capita of the country. The quality of partial economic evaluations was on average lower than that of full economic evaluations. Cost of mhealth interventions varied substantially based on type and combination of technology used, however, where cost-effectiveness results were reported, the intervention was cost-effective. Prospero registration number: crd42019123476; registered: 27/01/2019.","English","Diabetes and Economic evaluation and Telemedicine and mHealth","162",2
10,"Ashis","not vetted","Naslund, John A. and Mitchell, Lauren M. and Joshi, Udita and Nagda, Dipal and Lu, Chunling","Economic evaluation and costs of telepsychiatry programmes: a systematic review.","Journal of telemedicine and telecare","2020","10.1177/1357633X20938919 ","Objective: telepsychiatry involves use of telecommunications technology to deliver psychiatric care and offers promise to reduce costs and increase access to mental health services. This systematic review examined cost reporting of telepsychiatry programmes for mental healthcare. Methods: we systematically searched electronic databases for studies reporting costs, including economic evaluations such as cost-effectiveness analyses, or costs of developing telepsychiatry programmes for clinical care of mental disorders. Included studies enrolled participants with mental disorders and involved telepsychiatry for depression, anxiety disorders, serious mental illnesses including schizophrenia spectrum disorders and bipolar disorder, post-traumatic stress disorder, dementia or epilepsy. Results: twenty-six unique studies met inclusion criteria (17,967 participants), with most targeting depression (n = 7; 27%), general mental disorders and screening (n = 7; 27%), child mental health (n = 4; 15%) and geriatric mental health (n = 4; 15%). Nearly all studies (n = 25; 96%) compared telepsychiatry programme costs with either standard in-person consultation or usual care, with 15 (60%) reporting that telepsychiatry programmes were less expensive, and 8 (32%) showing telepsychiatry programmes were more expensive. Three studies reported cost-effectiveness analyses, favouring telepsychiatry programmes, but at highly elevated cost-effectiveness thresholds. Few studies reported costs of developing or delivering telepsychiatry programmes. Conclusion: costs of telepsychiatry programmes varied widely, with substantial heterogeneity in how costs were defined and reported. Some programmes cost less than in-person services while others cost more. Therefore, rigorous cost-effectiveness studies following established standards in economic evaluation are needed to inform implementation and sustainability of these programmes in health systems.","English","Telepsychiatry and cost and cost-effectiveness and economic and intervention and mental health and remote technology",NA,2
