,x,,,,group
1,anxiety,,,,
2,children,,,,
3,covid-19,,,,
4,depression,,,,
5,economic burden,,,,Economic
6,health care,,,,
7,internet,,,,
8,intervention,,,,
9,mental health,,,,
10,older people,,,,
11,pandemic,,,,
12,prevention,,,,
13,quarantine,,,,
14,review,,,,
15,social media,,,,
16,technology,,,,
17,telemedicine,,,,Telemedicine
18,allied health literature,,,,
19,barrier,,,,
20,care,,,,
21,cost,,,,Economic
22,cumulative index,,,,
23,delivery,,,,
24,education,,,,
25,effectiveness,,,,
26,policy,,,,
27,preferred reporting items,,,,
28,reimbursement,,,,
29,systematic literature review,,,,
30,systematic review,,,,
31,training,,,,
32,consensus,,,,
33,efficiency,,,,
34,high-quality,,,,
35,improved outcomes,,,,
36,patient satisfaction,,,,
37,review identified,,,,
38,telehealth,,,,Telemedicine
39,cost-effective,,,,Economic
40,home,,,,
41,integrated,,,,
42,rehabilitation,,,,
43,rehabilitation services,,,,
44,telerehabilitation,,,,Telemedicine
45,access,,,,
46,appropriate,,,,
47,asynchronous,,,,
48,cancer,,,,
49,electronic health record,,,,
50,increase access,,,,
51,information,,,,
52,medication adherence,,,,
53,remote,,,,
54,standards,,,,
55,appear,,,,
56,approach,,,,
57,challenges,,,,
58,communication,,,,
59,coronavirus,,,,
60,coronavirus disease,,,,
61,general population,,,,
62,hospital,,,,
63,sars-cov-2,,,,
64,therapy,,,,
65,treatment,,,,
66,world health organization,,,,
67,implementation,,,,
68,model,,,,
69,quality,,,,
70,recent findings,,,,
71,recommendations,,,,
72,satisfaction,,,,
73,evidence,,,,
74,healthcare system,,,,
75,inclusion criteria,,,,
76,managed,,,,
77,outcomes,,,,
78,patients,,,,
79,primary care,,,,
80,socioeconomic status,,,,
81,sustainability,,,,
82,united states,,,,
83,adherence,,,,
84,apps,,,,
85,devices,,,,
86,effect sizes,,,,
87,efficacy,,,,
88,google scholar,,,,
89,messaging,,,,
90,mhealth,,,,Telemedicine
91,mhealth intervention,,,,Telemedicine
