"","x"
"1","-forward"
"2","abortion"
"3","acceptability"
"4","acceptance"
"5","access"
"6","access to care"
"7","access to health care"
"8","accessibility"
"9","activities of daily living"
"10","acute ischemic stroke"
"11","acute myocardial infarction"
"12","acute stroke"
"13","acute stroke care"
"14","addiction"
"15","adherence"
"16","administration"
"17","adolescent"
"18","adolescents"
"19","adult"
"20","africa"
"21","age"
"22","aged"
"23","aids"
"24","alcohol"
"25","algorithms"
"26","allergy"
"27","allied health"
"28","alzheimer"
"29","alzheimer's disease"
"30","ambulances"
"31","antiviral"
"32","anxiety"
"33","anxiety disorders"
"34","application"
"35","applications"
"36","apps"
"37","arthroplasty"
"38","artificial intelligence"
"39","assessment"
"40","asthma"
"41","asynchronous"
"42","atrial fibrillation"
"43","australia"
"44","autism"
"45","autism spectrum disorder"
"46","balance"
"47","barrier"
"48","barriers"
"49","behavior"
"50","behavioral"
"51","behavioral health"
"52","behavioral intervention"
"53","behavioral therapy"
"54","big data"
"55","blood pressure"
"56","blood pressure telemonitoring"
"57","brain injury"
"58","breast cancer"
"59","burn"
"60","burnout"
"61","canada"
"62","cancer"
"63","cancer care"
"64","cardiac rehabilitation"
"65","cardiology"
"66","cardiovascular disease"
"67","cardiovascular diseases"
"68","cardiovascular risk factors"
"69","care"
"70","care delivery"
"71","caregiver"
"72","caregivers"
"73","case management"
"74","cell phone"
"75","chemotherapy"
"76","child"
"77","children"
"78","china"
"79","chronic"
"80","chronic care model"
"81","chronic disease"
"82","chronic disease management"
"83","chronic diseases"
"84","chronic heart failure"
"85","chronic illness"
"86","chronic kidney disease"
"87","chronic obstructive"
"88","chronic obstructive pulmonary disease"
"89","chronic pain"
"90","chronic respiratory failure"
"91","clinical"
"92","clinical consultation"
"93","clinical decision support"
"94","clinical guidelines"
"95","clinical outcomes"
"96","clinical trial"
"97","clinical video telehealth"
"98","cognition"
"99","cognitive"
"100","cognitive behavioral therapy"
"101","cognitive behavioural therapy"
"102","collaboration"
"103","collaborative"
"104","collaborative care"
"105","communication"
"106","communication disorders"
"107","communication technologies"
"108","communication technology"
"109","community"
"110","community-based"
"111","comparative effectiveness"
"112","competency"
"113","compliance"
"114","computed tomography"
"115","computer"
"116","computers"
"117","connect"
"118","connected health"
